"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","55 to 64 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114980924","16.19.6.1.5.1","320000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","65 years and older","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114980941","16.19.7.1.4.1","16.3","","","","1"
"2023","Toronto, Ontario","2016S0503535","Mortgage debt","65 years and older","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114980942","16.19.7.1.5.1","198000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Non-mortgage debt","Under 65 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230969605","16.30.2.1.4.1","66.4","","","","1"
"2023","Toronto, Ontario","2016S0503535","Non-mortgage debt","Under 65 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v1230969608","16.30.2.1.5.1","26700","","","","0"
"2023","Toronto, Ontario","2016S0503535","Non-mortgage debt","Under 35 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230969659","16.30.3.1.4.1","62.7","","","","1"
"2023","Toronto, Ontario","2016S0503535","Non-mortgage debt","Under 35 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v1230969662","16.30.3.1.5.1","27500","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Non-mortgage debt","35 to 44 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230969713","16.30.4.1.4.1","71.2","","","","1"
"2023","Toronto, Ontario","2016S0503535","Non-mortgage debt","35 to 44 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v1230969716","16.30.4.1.5.1","25000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Non-mortgage debt","45 to 54 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230969767","16.30.5.1.4.1","69.8","","","","1"
